,Total Sample,,Gender,,,Irish Region,,,,,,Age,,,,,,"Question 2 - How frequently do you typically buy something that you didn’t plan to buy, when shopping in a supermarket, grocery store or off licence at Christmas time?", ,,,,,"Question 3 - To what extent are the purchase decisions you make at Christmas in a supermarket, grocery store or off licence, impacted by the advertising you see?", ,,,,,"Question 5 - Top 3 favourite Brands to buy in a supermarket, grocery store or off licence at Christmas time?", ,,,,,,,,,,,,,,,,,,,,,Question 6 - Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time?, ,,,,,,,,,,,Question 7 - And what other types of media are likely to get your attention when looking for brands at Christmas time? Please select all that apply. , ,,,,,,,,,,,Females,Females Dublin,No Segments
Demographics,,,Male,Female, ,Dublin,Leinster,Munster,Connacht,Ulster (ROI Only), ,18-24,25-34,35-44,45-54,55-64, ,Always,Often,Sometimes ,Rarely ,Never , ,Always ,Often ,Sometimes ,Rarely ,Never , ,Denny's,Jameson,M&S,Baileys,Coca Cola,Smirnoff,Tesco,Tayto,None,Dunnes Stores,Cadbury's,Powers,Lindt,Ballymaloe,Heineken,Other Brands,Roses,Absolut,Guinness,Quality Street,No Group, ,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email ,Other, ,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email ,Other, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%
TV,268,,141,127, ,64,76,80,34,14, ,19,39,71,64,75, ,67,97,72,28,4, ,14,55,125,58,15, ,1,27,7,84,16,16,10,23,6,6,73,2,13,5,19,22,17,1,36,17,0, ,0,0,0,0,0,0,0,0,0,0,0, ,104,110,72,72,40,18,85,74,78,44,1, ,27,28,216
,27%,,29%,25%, ,23%,28%,29%,30%,26%, ,15%,17%,27%,30%,43%, ,26%,25%,28%,32%,24%, ,17%,20%,30%,32%,26%, ,8%,26%,29%,27%,28%,30%,23%,25%,22%,21%,27%,18%,25%,28%,30%,21%,30%,6%,31%,45%,0%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,22%,36%,34%,33%,19%,17%,28%,21%,25%,24%,10%, ,15%,19%,30%
Radio,63,,39,24, ,22,10,20,11,0, ,1,13,15,15,19, ,7,28,16,10,2, ,6,18,28,6,5, ,0,13,0,17,0,2,3,4,1,1,16,2,4,2,4,8,2,1,14,1,0, ,0,0,0,0,0,0,0,0,0,0,0, ,44,30,18,17,13,7,16,15,20,15,0, ,6,8,50
,6%,,8%,5%, ,8%,4%,7%,10%,0%, ,1%,6%,6%,7%,11%, ,3%,7%,6%,11%,12%, ,7%,7%,7%,3%,9%, ,0%,12%,0%,6%,0%,4%,7%,4%,4%,4%,6%,18%,8%,11%,6%,8%,4%,6%,12%,3%,0%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,9%,10%,8%,8%,6%,7%,5%,4%,6%,8%,0%, ,3%,6%,7%
"Print media eg newspapers, magazines, flyers",49,,26,23, ,13,17,12,4,3, ,10,6,11,11,11, ,13,18,14,4,0, ,5,18,13,8,5, ,3,1,0,13,2,1,4,3,2,5,8,0,1,3,4,8,0,1,8,0,0, ,0,0,0,0,0,0,0,0,0,0,0, ,28,16,19,12,6,2,11,13,16,8,1, ,9,6,38
,5%,,5%,4%, ,5%,6%,4%,4%,6%, ,8%,3%,4%,5%,6%, ,5%,5%,5%,5%,0%, ,6%,7%,3%,4%,9%, ,25%,1%,0%,4%,4%,2%,9%,3%,7%,18%,3%,0%,2%,17%,6%,8%,0%,6%,7%,0%,0%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,6%,5%,9%,6%,3%,2%,4%,4%,5%,4%,10%, ,5%,4%,5%
"Out of Home eg billboards, posters",45,,32,13, ,19,13,9,3,1, ,9,10,10,10,6, ,10,16,13,5,1, ,1,17,13,9,5, ,0,3,1,16,5,1,2,3,1,3,9,1,3,0,6,6,1,2,9,3,0, ,0,0,0,0,0,0,0,0,0,0,0, ,20,16,16,23,6,4,10,16,17,8,1, ,6,6,35
,4%,,7%,3%, ,7%,5%,3%,3%,2%, ,7%,4%,4%,5%,3%, ,4%,4%,5%,6%,6%, ,1%,6%,3%,5%,9%, ,0%,3%,4%,5%,9%,2%,5%,3%,4%,11%,3%,9%,6%,0%,10%,6%,2%,13%,8%,8%,0%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,4%,5%,7%,11%,3%,4%,3%,4%,5%,4%,10%, ,3%,4%,5%
Tiktok,62,,26,36, ,16,13,20,7,6, ,21,19,11,6,5, ,18,26,12,5,1, ,9,19,23,8,3, ,1,2,2,15,8,5,4,8,0,1,17,0,5,1,3,8,6,0,3,4,0, ,0,0,0,0,0,0,0,0,0,0,0, ,29,13,7,10,27,9,21,36,13,9,0, ,26,8,33
,6%,,5%,7%, ,6%,5%,7%,6%,11%, ,16%,8%,4%,3%,3%, ,7%,7%,5%,6%,6%, ,11%,7%,6%,4%,5%, ,8%,2%,8%,5%,14%,9%,9%,9%,0%,4%,6%,0%,9%,6%,5%,8%,11%,0%,3%,11%,0%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,6%,4%,3%,5%,13%,8%,7%,10%,4%,5%,0%, ,14%,6%,5%
Twitter,18,,15,3, ,5,4,5,3,1, ,2,2,7,2,5, ,7,3,5,2,1, ,2,6,8,1,1, ,0,4,0,7,1,2,0,1,1,0,3,2,0,0,1,1,0,2,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0, ,6,6,3,5,5,8,6,7,8,5,0, ,0,0,18
,2%,,3%,1%, ,2%,1%,2%,3%,2%, ,2%,1%,3%,1%,3%, ,3%,1%,2%,2%,6%, ,2%,2%,2%,1%,2%, ,0%,4%,0%,2%,2%,4%,0%,1%,4%,0%,1%,18%,0%,0%,2%,1%,0%,13%,3%,0%,0%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,1%,2%,1%,2%,2%,8%,2%,2%,3%,3%,0%, ,0%,0%,2%
Facebook,106,,47,59, ,26,29,29,17,5, ,5,24,29,31,17, ,28,50,21,5,2, ,7,35,44,14,6, ,1,9,0,28,6,7,4,7,4,2,25,0,6,1,10,20,5,3,8,6,0, ,0,0,0,0,0,0,0,0,0,0,0, ,51,28,14,12,30,15,39,39,30,26,0, ,16,15,80
,11%,,10%,12%, ,9%,11%,10%,15%,9%, ,4%,11%,11%,15%,10%, ,11%,13%,8%,6%,12%, ,9%,13%,11%,8%,11%, ,8%,9%,0%,9%,11%,13%,9%,8%,15%,7%,9%,0%,11%,6%,16%,19%,9%,19%,7%,16%,0%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,11%,9%,7%,6%,14%,14%,13%,11%,9%,14%,0%, ,9%,10%,11%
Instagram,188,,69,119, ,51,54,54,19,10, ,32,61,52,30,13, ,44,81,45,15,3, ,22,42,83,37,4, ,4,24,5,69,8,8,8,20,3,4,59,2,7,3,7,16,10,2,19,3,0, ,0,0,0,0,0,0,0,0,0,0,0, ,93,36,25,36,41,22,61,87,64,33,0, ,50,32,118
,19%,,14%,23%, ,18%,20%,19%,17%,19%, ,25%,27%,20%,14%,7%, ,17%,21%,17%,17%,18%, ,27%,16%,20%,21%,7%, ,33%,23%,21%,23%,14%,15%,18%,22%,11%,14%,22%,18%,13%,17%,11%,15%,18%,13%,16%,8%,0%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,20%,12%,12%,17%,20%,21%,20%,24%,20%,18%,0%, ,27%,22%,16%
General Online advertising,146,,64,82, ,49,40,37,10,10, ,21,40,36,33,16, ,44,49,42,10,1, ,11,42,53,31,9, ,1,12,4,46,9,9,7,19,6,5,39,2,7,0,5,12,13,4,12,2,0, ,0,0,0,0,0,0,0,0,0,0,0, ,73,35,31,24,26,16,38,53,58,17,2, ,37,34,92
,15%,,13%,16%, ,17%,14%,13%,9%,19%, ,16%,18%,14%,16%,9%, ,17%,13%,16%,11%,6%, ,13%,16%,13%,17%,16%, ,8%,11%,17%,15%,16%,17%,16%,20%,22%,18%,15%,18%,13%,0%,8%,11%,23%,25%,10%,5%,0%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,15%,12%,14%,11%,12%,15%,12%,15%,18%,9%,20%, ,20%,24%,13%
Email ,46,,23,23, ,13,17,9,4,3, ,8,7,15,8,8, ,12,16,14,3,1, ,5,17,20,3,1, ,0,5,3,10,2,0,2,3,3,1,16,0,6,3,4,4,2,0,4,2,0, ,0,0,0,0,0,0,0,0,0,0,0, ,25,13,8,5,12,5,20,18,12,21,0, ,5,6,37
,5%,,5%,4%, ,5%,6%,3%,4%,6%, ,6%,3%,6%,4%,5%, ,5%,4%,5%,3%,6%, ,6%,6%,5%,2%,2%, ,0%,5%,13%,3%,4%,0%,5%,3%,11%,4%,6%,0%,11%,17%,6%,4%,4%,0%,3%,5%,0%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,5%,4%,4%,2%,6%,5%,6%,5%,4%,11%,0%, ,3%,4%,5%
Other,11,,8,3, ,3,3,4,1,0, ,1,4,4,1,1, ,3,0,7,0,1, ,0,0,3,5,3, ,1,5,2,1,0,2,0,2,0,0,2,0,1,0,0,1,0,0,1,0,0, ,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,0,3,0,1,0,1,0,5, ,2,1,9
,1%,,2%,1%, ,1%,1%,1%,1%,0%, ,1%,2%,2%,0%,1%, ,1%,0%,3%,0%,6%, ,0%,0%,1%,3%,5%, ,8%,5%,8%,0%,0%,4%,0%,2%,0%,0%,1%,0%,2%,0%,0%,1%,0%,0%,1%,0%,0%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,50%, ,1%,1%,1%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Question 7 - And what other types of media are likely to get your attention when looking for brands at Christmas time? Please select all that apply. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1002,,490,512, ,281,276,279,113,53, ,129,225,261,211,176, ,253,384,261,87,17, ,82,269,413,180,57, ,12,105,24,306,57,53,44,93,27,28,267,11,53,18,63,106,56,16,117,38,66, ,268,63,49,45,62,18,106,188,146,46,11, ,474,304,214,216,209,106,308,358,317,186,10, ,184,144,726
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%
TV,474,,217,257, ,139,119,143,50,23, ,48,88,125,119,94, ,121,181,130,36,6, ,36,138,218,69,13, ,6,51,11,148,29,24,15,50,9,14,134,4,23,13,33,52,28,9,58,20,0, ,104,44,28,20,29,6,51,93,73,25,1, ,0,0,0,0,0,0,0,0,0,0,0, ,78,73,343
,47%,,44%,50%, ,49%,43%,51%,44%,43%, ,37%,39%,48%,56%,53%, ,48%,47%,50%,41%,35%, ,44%,51%,53%,38%,23%, ,50%,49%,46%,48%,51%,45%,34%,54%,33%,50%,50%,36%,43%,72%,52%,49%,50%,56%,50%,53%,0%, ,39%,70%,57%,44%,47%,33%,48%,49%,50%,54%,9%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,42%,51%,47%
Radio,304,,167,137, ,75,76,94,42,17, ,23,46,82,87,66, ,84,107,80,31,2, ,27,68,144,54,10, ,4,33,4,91,14,18,12,27,4,4,98,4,16,8,22,32,18,4,49,18,0, ,110,30,16,16,13,6,28,36,35,13,1, ,0,0,0,0,0,0,0,0,0,0,0, ,32,33,241
,30%,,34%,27%, ,27%,28%,34%,37%,32%, ,18%,20%,31%,41%,38%, ,33%,28%,31%,36%,12%, ,33%,25%,35%,30%,18%, ,33%,31%,17%,30%,25%,34%,27%,29%,15%,14%,37%,36%,30%,44%,35%,30%,32%,25%,42%,47%,0%, ,41%,48%,33%,36%,21%,33%,26%,19%,24%,28%,9%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,17%,23%,33%
"Print media eg newspapers, magazines, flyers",214,,103,111, ,60,58,69,21,6, ,18,46,49,48,53, ,63,75,52,24,0, ,16,60,87,38,13, ,4,21,9,73,12,7,6,20,1,6,58,2,8,5,16,21,14,5,26,8,0, ,72,18,19,16,7,3,14,25,31,8,1, ,0,0,0,0,0,0,0,0,0,0,0, ,35,30,158
,21%,,21%,22%, ,21%,21%,25%,19%,11%, ,14%,20%,19%,23%,30%, ,25%,20%,20%,28%,0%, ,20%,22%,21%,21%,23%, ,33%,20%,38%,24%,21%,13%,14%,22%,4%,21%,22%,18%,15%,28%,25%,20%,25%,31%,22%,21%,0%, ,27%,29%,39%,36%,11%,17%,13%,13%,21%,17%,9%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,19%,21%,22%
"Out of Home eg billboards, posters",216,,112,104, ,78,48,57,22,11, ,23,52,52,46,43, ,64,78,52,19,3, ,20,54,92,36,14, ,2,27,5,82,10,11,8,18,8,6,61,5,11,4,17,9,13,4,36,13,0, ,72,17,12,23,10,5,12,36,24,5,0, ,0,0,0,0,0,0,0,0,0,0,0, ,33,42,152
,22%,,23%,20%, ,28%,17%,20%,19%,21%, ,18%,23%,20%,22%,24%, ,25%,20%,20%,22%,18%, ,24%,20%,22%,20%,25%, ,17%,26%,21%,27%,18%,21%,18%,19%,30%,21%,23%,45%,21%,22%,27%,8%,23%,25%,31%,34%,0%, ,27%,27%,24%,51%,16%,28%,11%,19%,16%,11%,0%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,18%,29%,21%
Tiktok,209,,97,112, ,57,51,64,25,12, ,51,59,45,36,18, ,60,85,49,13,2, ,28,64,89,24,4, ,3,24,6,55,13,17,10,22,5,3,57,3,9,2,19,24,15,3,17,11,0, ,40,13,6,6,27,5,30,41,26,12,3, ,0,0,0,0,0,0,0,0,0,0,0, ,65,29,131
,21%,,20%,22%, ,20%,18%,23%,22%,23%, ,40%,26%,17%,17%,10%, ,24%,22%,19%,15%,12%, ,34%,24%,22%,13%,7%, ,25%,23%,25%,18%,23%,32%,23%,24%,19%,11%,21%,27%,17%,11%,30%,23%,27%,19%,15%,29%,0%, ,15%,21%,12%,13%,44%,28%,28%,22%,18%,26%,27%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,35%,20%,18%
Twitter,106,,77,29, ,25,27,30,16,8, ,14,37,25,21,9, ,36,39,21,7,3, ,20,37,34,13,2, ,0,18,0,26,4,8,4,6,4,6,27,2,3,1,10,12,2,4,24,1,0, ,18,7,2,4,9,8,15,22,16,5,0, ,0,0,0,0,0,0,0,0,0,0,0, ,14,9,88
,11%,,16%,6%, ,9%,10%,11%,14%,15%, ,11%,16%,10%,10%,5%, ,14%,10%,8%,8%,18%, ,24%,14%,8%,7%,4%, ,0%,17%,0%,8%,7%,15%,9%,6%,15%,21%,10%,18%,6%,6%,16%,11%,4%,25%,21%,3%,0%, ,7%,11%,4%,9%,15%,44%,14%,12%,11%,11%,0%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,8%,6%,12%
Facebook,308,,138,170, ,66,96,90,38,18, ,19,73,87,76,53, ,93,126,69,20,0, ,39,101,124,33,11, ,6,35,6,80,18,20,11,24,7,8,88,3,14,5,28,32,26,7,45,12,0, ,85,16,11,10,21,6,39,61,38,20,1, ,0,0,0,0,0,0,0,0,0,0,0, ,45,31,241
,31%,,28%,33%, ,23%,35%,32%,34%,34%, ,15%,32%,33%,36%,30%, ,37%,33%,26%,23%,0%, ,48%,38%,30%,18%,19%, ,50%,33%,25%,26%,32%,38%,25%,26%,26%,29%,33%,27%,26%,28%,44%,30%,46%,44%,38%,32%,0%, ,32%,25%,22%,22%,34%,33%,37%,32%,26%,43%,9%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,24%,22%,33%
Instagram,358,,143,215, ,110,92,92,42,22, ,57,99,101,61,40, ,105,148,82,12,11, ,35,111,137,57,17, ,3,39,8,121,22,17,18,34,7,10,100,3,23,6,31,38,22,9,50,9,0, ,74,15,13,16,36,7,39,87,53,18,0, ,0,0,0,0,0,0,0,0,0,0,0, ,90,61,234
,36%,,29%,42%, ,39%,33%,33%,37%,42%, ,44%,44%,39%,29%,23%, ,42%,39%,31%,14%,65%, ,43%,41%,33%,32%,30%, ,25%,37%,33%,40%,39%,32%,41%,37%,26%,36%,37%,27%,43%,33%,49%,36%,39%,56%,43%,24%,0%, ,28%,24%,27%,36%,58%,39%,37%,46%,36%,39%,0%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,49%,42%,32%
General Online advertising,317,,148,169, ,96,81,95,27,18, ,39,80,84,69,45, ,80,129,85,20,3, ,23,94,137,50,12, ,4,40,10,103,19,16,12,35,4,11,91,2,24,7,28,16,21,7,45,8,0, ,78,20,16,17,13,8,30,64,58,12,1, ,0,0,0,0,0,0,0,0,0,0,0, ,64,52,222
,32%,,30%,33%, ,34%,29%,34%,24%,34%, ,30%,36%,32%,33%,26%, ,32%,34%,33%,23%,18%, ,28%,35%,33%,28%,21%, ,33%,38%,42%,34%,33%,30%,27%,38%,15%,39%,34%,18%,45%,39%,44%,15%,38%,44%,38%,21%,0%, ,29%,32%,33%,38%,21%,44%,28%,34%,40%,26%,9%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,35%,36%,31%
Email ,186,,80,106, ,57,50,43,28,8, ,15,36,58,38,39, ,56,76,37,16,1, ,19,65,78,17,7, ,3,19,7,62,9,11,10,14,4,5,42,3,7,4,13,25,9,2,22,7,0, ,44,15,8,8,9,5,26,33,17,21,0, ,0,0,0,0,0,0,0,0,0,0,0, ,26,32,137
,19%,,16%,21%, ,20%,18%,15%,25%,15%, ,12%,16%,22%,18%,22%, ,22%,20%,14%,18%,6%, ,23%,24%,19%,9%,12%, ,25%,18%,29%,20%,16%,21%,23%,15%,15%,18%,16%,27%,13%,22%,21%,24%,16%,13%,19%,18%,0%, ,16%,24%,16%,18%,15%,28%,25%,18%,12%,46%,0%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,14%,22%,19%
Other,10,,7,3, ,4,3,1,1,1, ,1,3,5,0,1, ,1,2,6,0,1, ,1,0,3,4,2, ,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,2,0,0,1,0,0, ,1,0,1,1,0,0,0,0,2,0,5, ,0,0,0,0,0,0,0,0,0,0,0, ,1,1,9
,1%,,1%,1%, ,1%,1%,0%,1%,2%, ,1%,1%,2%,0%,1%, ,0%,1%,2%,0%,6%, ,1%,0%,1%,2%,4%, ,0%,2%,0%,0%,2%,0%,0%,1%,0%,0%,1%,0%,0%,0%,0%,2%,0%,0%,1%,0%,0%, ,0%,0%,2%,2%,0%,0%,0%,0%,1%,0%,45%, ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%, ,1%,1%,1%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1002,,490,512, ,281,276,279,113,53, ,129,225,261,211,176, ,253,384,261,87,17, ,82,269,413,180,57, ,12,105,24,306,57,53,44,93,27,28,267,11,53,18,63,106,56,16,117,38,66, ,268,63,49,45,62,18,106,188,146,46,11, ,474,304,214,216,209,106,308,358,317,186,10, ,184,144,726
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%
Females,184,,0,184, ,52,52,52,21,7, ,68,116,0,0,0, ,59,73,43,7,2, ,18,57,69,33,7, ,0,11,8,65,8,15,12,16,6,6,63,0,15,3,3,20,10,1,9,5,0, ,27,6,9,6,26,0,16,50,37,5,2, ,78,32,35,33,65,14,45,90,64,26,1, ,184,52,0
,18%,,0%,36%, ,19%,19%,19%,19%,13%, ,53%,52%,0%,0%,0%, ,23%,19%,16%,8%,12%, ,22%,21%,17%,18%,12%, ,0%,10%,33%,21%,14%,28%,27%,17%,22%,21%,24%,0%,28%,17%,5%,19%,18%,6%,8%,13%,0%, ,10%,10%,18%,13%,42%,0%,15%,27%,25%,11%,18%, ,16%,11%,16%,15%,31%,13%,15%,25%,20%,14%,10%, ,100%,36%,0%
Females Dublin,144,,0,144, ,144,0,0,0,0, ,19,33,37,30,25, ,43,58,35,7,1, ,10,35,74,19,5, ,2,7,13,63,7,8,7,16,4,7,49,0,7,1,3,13,6,0,12,4,0, ,28,8,6,6,8,0,15,32,34,6,1, ,73,33,30,42,29,9,31,61,52,32,1, ,52,144,0
,14%,,0%,28%, ,51%,0%,0%,0%,0%, ,15%,15%,14%,14%,14%, ,17%,15%,13%,8%,6%, ,12%,13%,18%,11%,9%, ,17%,7%,54%,21%,12%,15%,16%,17%,15%,25%,18%,0%,13%,6%,5%,12%,11%,0%,10%,11%,0%, ,10%,13%,12%,13%,13%,0%,14%,17%,23%,13%,9%, ,15%,11%,14%,19%,14%,8%,10%,17%,16%,17%,10%, ,28%,100%,0%
No Segments,726,,490,236, ,137,224,227,92,46, ,61,109,224,181,151, ,166,272,199,75,14, ,58,190,296,136,46, ,10,92,9,201,45,33,28,65,19,19,174,11,35,14,59,77,40,15,101,29,0, ,216,50,38,35,33,18,80,118,92,37,9, ,343,241,158,152,131,88,241,234,222,137,9, ,0,0,726
,72%,,100%,46%, ,49%,81%,81%,81%,87%, ,47%,48%,86%,86%,86%, ,66%,71%,76%,86%,82%, ,71%,71%,72%,76%,81%, ,83%,88%,38%,66%,79%,62%,64%,70%,70%,68%,65%,100%,66%,78%,94%,73%,71%,94%,86%,76%,0%, ,81%,79%,78%,78%,53%,100%,75%,63%,63%,80%,82%, ,72%,79%,74%,70%,63%,83%,78%,65%,70%,74%,90%, ,0%,0%,100%
