,Total Sample,,Gender,,,Irish Region,,,,,,Age,,,,,,"Question 2 - How frequently do you typically buy something that you didn’t plan to buy, when shopping in a supermarket, grocery store or off licence at Christmas time?", ,,,,,"Question 3 - To what extent are the purchase decisions you make at Christmas in a supermarket, grocery store or off licence, impacted by the advertising you see?", ,,,,,"Question 5 - Top 3 favourite Brands to buy in a supermarket, grocery store or off licence at Christmas time?", ,,,,,,,,,,,,,,,,,,,,,Question 6 - Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time?, ,,,,,,,,,,,Question 7 - And what other types of media are likely to get your attention when looking for brands at Christmas time? Please select all that apply. , ,,,,,,,,,,,Females,Females Dublin,No Segments
Demographics,,,Male,Female, ,Dublin,Leinster,Munster,Connacht,Ulster (ROI Only), ,18-24,25-34,35-44,45-54,55-64, ,Always,Often,Sometimes ,Rarely ,Never , ,Always ,Often ,Sometimes ,Rarely ,Never , ,Denny's,Jameson,M&S,Baileys,Coca Cola,Smirnoff,Tesco,Tayto,None,Dunnes Stores,Cadbury's,Powers,Lindt,Ballymaloe,Heineken,Other Brands,Roses,Absolut,Guinness,Quality Street,No Group, ,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email ,Other, ,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email ,Other, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18%,,18%,18%, ,17%,17%,18%,18%,19%, ,,,,,100%, ,14%,17%,20%,21%,41%, ,13%,16%,19%,18%,18%, ,25%,19%,21%,20%,7%,13%,11%,12%,11%,11%,16%,27%,11%,22%,19%,28%,20%,13%,17%,18%,0%, ,28%,30%,22%,13%,8%,28%,16%,7%,11%,17%,9%, ,20%,22%,25%,20%,9%,8%,17%,11%,14%,21%,10%, ,0%,17%,21%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Questions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Question 1 - This Christmas, how much money do you intend to spend in the following areas when compared to Christmas last year?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1002,,490,512, ,281,276,279,113,53, ,129,225,261,211,176, ,253,384,261,87,17, ,82,269,413,180,57, ,12,105,24,306,57,53,44,93,27,28,267,11,53,18,63,106,56,16,117,38,66, ,268,63,49,45,62,18,106,188,146,46,11, ,474,304,214,216,209,106,308,358,317,186,10, ,184,144,726
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%
"Food & Beverages
 - More ",323,,173,150, ,98,87,87,37,14, ,61,79,82,55,46, ,110,141,57,12,3, ,46,116,111,39,11, ,4,42,10,98,16,16,20,25,6,11,85,3,14,3,32,34,12,5,57,9,0, ,78,19,14,19,23,5,32,71,43,14,5, ,152,93,75,80,91,37,105,130,111,61,3, ,67,50,230
,32%,,35%,29%, ,35%,32%,31%,33%,26%, ,47%,35%,31%,26%,26%, ,43%,37%,22%,14%,18%, ,56%,43%,27%,22%,19%, ,33%,40%,42%,32%,28%,30%,45%,27%,22%,39%,32%,27%,26%,17%,51%,32%,21%,31%,49%,24%,0%, ,29%,30%,29%,42%,37%,28%,30%,38%,29%,30%,45%, ,32%,31%,35%,37%,44%,35%,34%,36%,35%,33%,30%, ,36%,35%,32%
"Food & Beverages
 - Same",488,,248,240, ,141,137,132,53,25, ,50,108,120,111,99, ,109,179,147,45,8, ,26,124,206,105,27, ,5,48,10,156,29,28,14,46,15,11,122,6,24,15,24,50,29,5,46,21,0, ,143,29,25,22,26,10,57,72,78,23,3, ,230,155,100,100,82,54,139,159,143,91,6, ,86,68,360
,49%,,51%,47%, ,50%,50%,47%,47%,47%, ,39%,48%,46%,53%,56%, ,43%,47%,56%,52%,47%, ,32%,46%,50%,58%,47%, ,42%,46%,42%,51%,51%,53%,32%,49%,56%,39%,46%,55%,45%,83%,38%,47%,52%,31%,39%,55%,0%, ,53%,46%,51%,49%,42%,56%,54%,38%,53%,50%,27%, ,49%,51%,47%,46%,39%,51%,45%,44%,45%,49%,60%, ,47%,47%,50%
"Food & Beverages
 - Less",191,,69,122, ,42,52,60,23,14, ,18,38,59,45,31, ,34,64,57,30,6, ,10,29,96,36,19, ,3,15,4,52,12,9,10,22,6,6,60,2,15,0,7,22,15,6,14,8,0, ,47,15,10,4,13,3,17,45,25,9,3, ,92,56,39,36,36,15,64,69,63,34,1, ,31,26,136
,19%,,14%,24%, ,15%,19%,22%,20%,26%, ,14%,17%,23%,21%,18%, ,13%,17%,22%,34%,35%, ,12%,11%,23%,20%,33%, ,25%,14%,17%,17%,21%,17%,23%,24%,22%,21%,22%,18%,28%,0%,11%,21%,27%,38%,12%,21%,0%, ,18%,24%,20%,9%,21%,17%,16%,24%,17%,20%,27%, ,19%,18%,18%,17%,17%,14%,21%,19%,20%,18%,10%, ,17%,18%,19%
"Beauty & Cosmetics
 - More ",167,,85,82, ,37,47,53,23,7, ,42,29,45,31,20, ,75,65,21,5,1, ,33,79,43,9,3, ,2,22,2,53,9,9,8,11,3,5,41,1,8,2,22,14,6,4,33,3,0, ,36,14,9,10,7,3,19,34,25,9,1, ,80,52,40,38,44,28,60,59,60,38,0, ,37,17,122
,17%,,17%,16%, ,13%,17%,19%,20%,13%, ,33%,13%,17%,15%,11%, ,30%,17%,8%,6%,6%, ,40%,29%,10%,5%,5%, ,17%,21%,8%,17%,16%,17%,18%,12%,11%,18%,15%,9%,15%,11%,35%,13%,11%,25%,28%,8%,0%, ,13%,22%,18%,22%,11%,17%,18%,18%,17%,20%,9%, ,17%,17%,19%,18%,21%,26%,19%,16%,19%,20%,0%, ,20%,12%,17%
"Beauty & Cosmetics
 - Same",453,,242,211, ,145,126,108,50,24, ,53,94,121,104,81, ,109,179,130,30,5, ,33,116,195,86,23, ,4,54,10,136,25,25,15,40,13,11,140,5,27,7,23,46,31,7,46,23,0, ,129,26,21,22,27,10,41,76,73,22,6, ,212,141,97,107,90,49,134,154,134,81,6, ,76,71,331
,45%,,49%,41%, ,52%,46%,39%,44%,45%, ,41%,42%,46%,49%,46%, ,43%,47%,50%,34%,29%, ,40%,43%,47%,48%,40%, ,33%,51%,42%,44%,44%,47%,34%,43%,48%,39%,52%,45%,51%,39%,37%,43%,55%,44%,39%,61%,0%, ,48%,41%,43%,49%,44%,56%,39%,40%,50%,48%,55%, ,45%,46%,45%,50%,43%,46%,44%,43%,42%,44%,60%, ,41%,49%,46%
"Beauty & Cosmetics
 - Less",382,,163,219, ,99,103,118,40,22, ,34,102,95,76,75, ,69,140,110,52,11, ,16,74,175,85,31, ,6,29,12,117,23,19,21,42,11,12,86,5,18,9,18,46,19,5,38,12,0, ,103,23,19,13,28,5,46,78,48,15,4, ,182,111,77,71,75,29,114,145,123,67,4, ,71,56,273
,38%,,33%,43%, ,35%,37%,42%,35%,42%, ,26%,45%,36%,36%,43%, ,27%,36%,42%,60%,65%, ,20%,28%,42%,47%,54%, ,50%,28%,50%,38%,40%,36%,48%,45%,41%,43%,32%,45%,34%,50%,29%,43%,34%,31%,32%,32%,0%, ,38%,37%,39%,29%,45%,28%,43%,41%,33%,33%,36%, ,38%,37%,36%,33%,36%,27%,37%,41%,39%,36%,40%, ,39%,39%,38%
"Health & Wellness
 - More ",189,,121,68, ,44,65,50,21,9, ,44,38,52,24,31, ,65,80,34,8,2, ,26,81,56,21,5, ,2,21,4,68,12,10,14,11,5,6,39,2,8,4,19,13,11,6,38,5,0, ,32,18,11,11,8,8,19,40,27,12,3, ,78,50,36,37,49,39,68,82,67,31,1, ,29,16,151
,19%,,25%,13%, ,16%,24%,18%,19%,17%, ,34%,17%,20%,11%,18%, ,26%,21%,13%,9%,12%, ,32%,30%,14%,12%,9%, ,17%,20%,17%,22%,21%,19%,32%,12%,19%,21%,15%,18%,15%,22%,30%,12%,20%,38%,32%,13%,0%, ,12%,29%,22%,24%,13%,44%,18%,21%,18%,26%,27%, ,16%,16%,17%,17%,23%,37%,22%,23%,21%,17%,10%, ,16%,11%,21%
"Health & Wellness
 - Same",540,,265,275, ,173,137,144,59,27, ,57,120,138,126,99, ,129,206,158,40,7, ,43,133,239,97,28, ,5,56,11,163,27,33,20,47,14,15,153,5,29,9,29,59,25,6,56,23,0, ,160,32,25,25,33,6,55,95,85,19,5, ,275,172,123,121,105,46,155,179,167,105,6, ,100,87,390
,54%,,54%,54%, ,62%,50%,52%,52%,51%, ,44%,53%,53%,60%,56%, ,51%,54%,61%,46%,41%, ,52%,49%,58%,54%,49%, ,42%,53%,46%,53%,47%,62%,45%,51%,52%,54%,57%,45%,55%,50%,46%,56%,45%,38%,48%,61%,0%, ,60%,51%,51%,56%,53%,33%,52%,51%,58%,41%,45%, ,58%,57%,57%,56%,50%,43%,50%,50%,53%,56%,60%, ,54%,60%,54%
"Health & Wellness
 - Less",273,,104,169, ,64,74,85,33,17, ,28,67,71,61,46, ,59,98,69,39,8, ,13,55,118,62,24, ,5,28,9,75,18,10,10,35,8,7,75,4,16,5,15,34,20,4,23,10,0, ,76,13,13,9,21,4,32,53,34,15,3, ,121,82,55,58,55,21,85,97,83,50,3, ,55,41,185
,27%,,21%,33%, ,23%,27%,30%,29%,32%, ,22%,30%,27%,29%,26%, ,23%,26%,26%,45%,47%, ,16%,20%,29%,34%,42%, ,42%,27%,38%,25%,32%,19%,23%,38%,30%,25%,28%,36%,30%,28%,24%,32%,36%,25%,20%,26%,0%, ,28%,21%,27%,20%,34%,22%,30%,28%,23%,33%,27%, ,26%,27%,26%,27%,26%,20%,28%,27%,26%,27%,30%, ,30%,28%,25%
